,Time,Hot valve,Temperature t2
0,0,750.0,0.0
1,1,221.42860163265135,52.857139836734866
2,2,343.49970456916145,40.65002954308385
3,3,265.94972940811874,48.40502705918813
4,4,284.36477324097484,46.56352267590252
5,5,259.00484812600445,49.099515187399554
6,6,258.2082742056994,49.17917257943006
7,7,245.06230566489123,50.49376943351088
8,8,240.07391571328606,50.992608428671396
9,9,230.907566192162,51.9092433807838
10,10,225.09012844691574,52.490987155308424
11,11,217.65658548526795,53.234341451473206
12,12,211.8821532779342,53.81178467220658
13,13,205.42206956994568,54.45779304300543
14,14,199.93320733023774,55.00667926697623
15,15,194.13859838229803,55.586140161770196
16,16,188.99954342037438,56.10004565796256
17,17,183.72409794462826,56.627590205537174
18,18,178.9453336157561,57.10546663842439
19,19,174.10931661938514,57.58906833806149
20,20,169.68524352718063,58.03147564728194
21,21,165.23946149090955,58.47605385090905
22,22,161.16041032124292,58.88395896787571
23,23,157.0705545017335,59.29294454982665
24,24,153.32672726334408,59.66732727366559
25,25,149.56551613076059,60.04344838692394
26,26,146.14847082578706,60.385152917421294
27,27,142.6909218441365,60.73090781558635
28,28,139.59468218770957,61.04053178122904
29,29,136.41440145851254,61.358559854148744
30,30,133.63730238287516,61.636269761712484
31,31,130.70236908686348,61.92976309131365
32,32,128.25079910522453,62.174920089477546
33,33,125.51754398344961,62.44824560165504
34,34,123.41359656603437,62.65864034339656
35,35,120.81526097652244,62.918473902347756
36,36,119.11246149854804,63.088753850145196
37,37,116.53649863156296,63.346350136843704
38,38,115.3527423701312,63.46472576298688
39,39,112.59305902074445,63.740694097925555
40,40,112.18141132823767,63.78185886717623
41,41,108.83449614984784,64.11655038501522
42,42,109.73975496936959,64.02602450306304
43,43,104.97274695464327,64.50272530453567
44,44,108.38785807716008,64.16121419228399
45,45,100.4092876308448,64.95907123691552
46,46,109.01218339247592,64.09878166075241
47,47,93.84452398220262,65.61554760177974
48,48,113.83979888928565,63.616020111071435
49,49,82.44928532378822,66.75507146762118
50,50,128.88082150262113,62.111917849737885
51,51,60.42732229202883,68.95726777079712
52,52,173.3570061892273,57.66429938107727
53,53,17.973011312275275,73.20269886877247
54,54,344.2474539555981,40.57525460444019
55,55,-54.6107675291249,80.46107675291249
56,56,-7136.579748554208,788.6579748554208
57,57,-155.038592234244,90.5038592234244
58,58,966.3232870803838,-21.63232870803838
59,59,28.272626409471542,72.17273735905285
60,60,443.9650983611787,30.603490163882125
61,61,106.360670904632,64.3639329095368
